model	sut_id	repeat	target_module	run_dir	batch_status	tool_exit_code	mutation_status	mutation_available	mutation_score_pct	killed	survived	timeout	suspicious	skipped	not_checked	no_tests	total	parse_source	elapsed_s	v5_logcorrected	v5_original_mutation_status	v5_original_mutation_score_pct
cluster-max-codellama-7b-instruct-ctx16k	cookiecutter_1f	5	cookiecutter.log	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/cookiecutter_1f/run_0001/0007-5	tool_completed	0	ok	True	29.629629629629626	8	19	0	0	0	0	0	27	mutmut_stdout_summary_v5	3.935	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	httpie_1f	2	httpie.sessions	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/httpie_1f/run_0001/0009-2	tool_completed	0	ok	True	13.636363636363635	3	19	0	0	0	0	89	111	mutmut_stdout_summary_v5	4.685	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	httpie_2f	2	httpie.sessions	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/httpie_2f/run_0001/0010-2	tool_completed	0	ok	True	13.636363636363635	3	19	0	0	0	0	89	111	mutmut_stdout_summary_v5	4.736	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	matplotlib_9f	2	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/matplotlib_9f/run_0001/0012-2	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	2143	0	2143	mutmut_results_lines	22.48	False	mutation_no_checked_mutants	
cluster-max-codellama-7b-instruct-ctx16k	thefuck_25f	4	thefuck.types	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/thefuck_25f/run_0001/0013-4	tool_completed	0	ok	True	100.0	4	0	0	0	0	0	6	10	mutmut_stdout_summary_v5	3.876	True	mutation_no_checked_mutants	
cluster-max-codellama-7b-instruct-ctx16k	thefuck_25f	5	thefuck.types	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/thefuck_25f/run_0001/0013-5	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	10	0	10	mutmut_results_lines	3.528	False	mutation_no_checked_mutants	
cluster-max-codellama-7b-instruct-ctx16k	tornado_4f	1	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/tornado_4f/run_0001/0015-1	tool_completed	0	ok	True	23.076923076923077	3	10	0	0	0	0	238	251	mutmut_stdout_summary_v5	5.935	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	tornado_4f	3	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/tornado_4f/run_0001/0015-3	tool_completed	0	ok	True	26.08695652173913	6	17	0	0	0	0	228	251	mutmut_stdout_summary_v5	5.955	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	youtube-dl_35f	1	youtube_dl.utils	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/youtube-dl_35f/run_0001/0016-1	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1810	0	1810	mutmut_results_lines	14.014	False	mutation_no_checked_mutants	
cluster-max-codellama-7b-instruct-ctx16k	youtube-dl_35f	3	youtube_dl.utils	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/youtube-dl_35f/run_0001/0016-3	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1810	0	1810	mutmut_results_lines	13.712	False	mutation_no_checked_mutants	
cluster-max-codellama-7b-instruct-ctx16k	youtube-dl_35f	5	youtube_dl.utils	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/youtube-dl_35f/run_0001/0016-5	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1810	0	1810	mutmut_results_lines	11.294	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	PySnooper_2f	1	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/PySnooper_2f/run_0001/0001-1	tool_completed	0	ok	True	27.160493827160494	110	295	0	0	0	0	145	550	mutmut_stdout_summary_v5	7.881	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	PySnooper_2f	2	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/PySnooper_2f/run_0001/0001-2	tool_completed	0	ok	True	27.40740740740741	111	294	0	0	0	0	145	550	mutmut_stdout_summary_v5	8.2	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	PySnooper_2f	3	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/PySnooper_2f/run_0001/0001-3	tool_completed	0	ok	True	27.160493827160494	110	295	0	0	0	0	145	550	mutmut_stdout_summary_v5	8.681	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	PySnooper_2f	5	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/PySnooper_2f/run_0001/0001-5	tool_completed	0	ok	True	27.160493827160494	110	295	0	0	0	0	145	550	mutmut_stdout_summary_v5	8.38	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	PySnooper_3f	5	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/PySnooper_3f/run_0001/0002-5	tool_completed	0	ok	True	15.263157894736842	29	161	0	0	0	0	5	195	mutmut_stdout_summary_v5	4.223	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	ansible_14f	1	ansible.utils.unicode	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/ansible_14f/run_0001/0003-1	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	8	0	8	mutmut_results_lines	20.203	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	ansible_14f	2	ansible.utils.unicode	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/ansible_14f/run_0001/0003-2	tool_completed	0	ok	True	12.5	1	7	0	0	0	0	0	8	mutmut_stdout_summary_v5	19.95	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	black_2f	1	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/black_2f/run_0001/0005-1	tool_completed	0	ok	True	66.66666666666666	2	1	0	0	0	0	0	3	mutmut_stdout_summary_v5	2.719	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	black_2f	2	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/black_2f/run_0001/0005-2	tool_completed	0	ok	True	66.66666666666666	2	1	0	0	0	0	0	3	mutmut_stdout_summary_v5	2.718	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	black_2f	4	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/black_2f/run_0001/0005-4	tool_completed	0	ok	True	100.0	3	0	0	0	0	0	0	3	mutmut_stdout_summary_v5	2.668	False	ok	100.0
cluster-safe-codestral-22b-ctx16k	black_2f	5	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/black_2f/run_0001/0005-5	tool_completed	0	ok	True	100.0	3	0	0	0	0	0	0	3	mutmut_stdout_summary_v5	2.719	False	ok	100.0
cluster-safe-codestral-22b-ctx16k	black_5f	2	blib2to3.pgen2.driver	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/black_5f/run_0001/0006-2	tool_completed	0	ok	True	66.66666666666666	4	2	0	0	0	0	297	303	mutmut_stdout_summary_v5	4.472	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	black_5f	4	blib2to3.pgen2.driver	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/black_5f/run_0001/0006-4	tool_completed	0	ok	True	16.666666666666664	1	5	0	0	0	0	297	303	mutmut_stdout_summary_v5	4.722	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	cookiecutter_3f	1	cookiecutter.log	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/cookiecutter_3f/run_0001/0008-1	tool_completed	0	ok	True	96.29629629629629	26	1	0	0	0	0	0	27	mutmut_stdout_summary_v5	3.12	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	cookiecutter_3f	2	cookiecutter.log	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/cookiecutter_3f/run_0001/0008-2	tool_completed	0	ok	True	29.629629629629626	8	19	0	0	0	0	0	27	mutmut_stdout_summary_v5	2.919	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	cookiecutter_3f	3	cookiecutter.log	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/cookiecutter_3f/run_0001/0008-3	tool_completed	0	ok	True	37.03703703703704	10	17	0	0	0	0	0	27	mutmut_stdout_summary_v5	2.97	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	cookiecutter_3f	4	cookiecutter.log	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/cookiecutter_3f/run_0001/0008-4	tool_completed	0	ok	True	66.66666666666666	18	9	0	0	0	0	0	27	mutmut_stdout_summary_v5	2.97	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	cookiecutter_3f	5	cookiecutter.log	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/cookiecutter_3f/run_0001/0008-5	tool_completed	0	ok	True	48.148148148148145	13	14	0	0	0	0	0	27	mutmut_stdout_summary_v5	2.92	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	httpie_1f	1	httpie.sessions	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/httpie_1f/run_0001/0009-1	tool_completed	0	ok	True	77.27272727272727	17	5	0	0	0	0	89	111	mutmut_stdout_summary_v5	3.721	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	matplotlib_16f	3	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/matplotlib_16f/run_0001/0011-3	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1939	0	1939	mutmut_results_lines	14.915	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	matplotlib_16f	4	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/matplotlib_16f/run_0001/0011-4	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1939	0	1939	mutmut_results_lines	16.109	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	matplotlib_16f	5	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/matplotlib_16f/run_0001/0011-5	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1939	0	1939	mutmut_results_lines	15.046	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	matplotlib_9f	1	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/matplotlib_9f/run_0001/0012-1	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	2143	0	2143	mutmut_results_lines	21.061	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	matplotlib_9f	2	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/matplotlib_9f/run_0001/0012-2	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	2143	0	2143	mutmut_results_lines	20.512	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	matplotlib_9f	3	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/matplotlib_9f/run_0001/0012-3	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	2143	0	2143	mutmut_results_lines	14.591	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	matplotlib_9f	4	matplotlib.cbook	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/matplotlib_9f/run_0001/0012-4	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	2143	0	2143	mutmut_results_lines	15.943	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	thefuck_25f	1	thefuck.types	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/thefuck_25f/run_0001/0013-1	tool_completed	0	ok	True	100.0	5	0	0	0	0	0	5	10	mutmut_stdout_summary_v5	3.421	True	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	thefuck_25f	3	thefuck.types	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/thefuck_25f/run_0001/0013-3	tool_completed	0	ok	True	100.0	5	0	0	0	0	0	5	10	mutmut_stdout_summary_v5	2.97	True	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	thefuck_25f	4	thefuck.types	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/thefuck_25f/run_0001/0013-4	tool_completed	0	ok	True	100.0	5	0	0	0	0	0	5	10	mutmut_stdout_summary_v5	3.12	True	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	tornado_14f	1	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_14f/run_0001/0014-1	tool_completed	0	ok	True	46.93877551020408	46	52	0	0	0	0	113	211	mutmut_stdout_summary_v5	4.273	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_14f	2	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_14f/run_0001/0014-2	tool_completed	0	ok	True	47.16981132075472	50	56	0	0	0	0	105	211	mutmut_stdout_summary_v5	4.272	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_14f	4	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_14f/run_0001/0014-4	tool_completed	0	ok	True	50.0	49	49	0	0	0	0	113	211	mutmut_stdout_summary_v5	4.172	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_14f	5	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_14f/run_0001/0014-5	tool_completed	0	ok	True	40.74074074074074	22	32	0	0	0	0	157	211	mutmut_stdout_summary_v5	4.372	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_4f	1	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_4f/run_0001/0015-1	tool_completed	0	ok	True	42.73504273504273	50	67	0	0	0	0	134	251	mutmut_stdout_summary_v5	4.874	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_4f	2	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_4f/run_0001/0015-2	tool_completed	0	ok	True	35.59322033898305	21	38	0	0	0	0	192	251	mutmut_stdout_summary_v5	4.393	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_4f	3	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_4f/run_0001/0015-3	tool_completed	0	ok	True	44.44444444444444	52	65	0	0	0	0	134	251	mutmut_stdout_summary_v5	4.572	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_4f	4	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_4f/run_0001/0015-4	tool_completed	0	ok	True	43.87755102040816	43	55	0	0	0	0	153	251	mutmut_stdout_summary_v5	5.072	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	tornado_4f	5	tornado.escape	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/tornado_4f/run_0001/0015-5	tool_completed	0	ok	True	44.800000000000004	56	69	0	0	0	0	126	251	mutmut_stdout_summary_v5	4.923	True	ok	0.0
cluster-safe-codestral-22b-ctx16k	youtube-dl_35f	1	youtube_dl.utils	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/youtube-dl_35f/run_0001/0016-1	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1810	0	1810	mutmut_results_lines	9.381	False	mutation_no_checked_mutants	
cluster-safe-codestral-22b-ctx16k	youtube-dl_35f	5	youtube_dl.utils	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-codestral-22b-ctx16k/youtube-dl_35f/run_0001/0016-5	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	1810	0	1810	mutmut_results_lines	9.683	False	mutation_no_checked_mutants	
cluster-safe-deepseek-coder-v2-16b-ctx16k	PySnooper_2f	5	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-deepseek-coder-v2-16b-ctx16k/PySnooper_2f/run_0001/0001-5	tool_completed	0	ok	True	11.020408163265307	27	218	0	0	0	0	305	550	mutmut_stdout_summary_v5	7.278	True	ok	0.0
cluster-safe-deepseek-coder-v2-16b-ctx16k	PySnooper_3f	1	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-deepseek-coder-v2-16b-ctx16k/PySnooper_3f/run_0001/0002-1	tool_completed	0	ok	True	15.263157894736842	29	161	0	0	0	0	5	195	mutmut_stdout_summary_v5	5.274	True	ok	0.0
cluster-safe-deepseek-coder-v2-16b-ctx16k	PySnooper_3f	3	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-deepseek-coder-v2-16b-ctx16k/PySnooper_3f/run_0001/0002-3	tool_completed	0	ok	True	15.263157894736842	29	161	0	0	0	0	5	195	mutmut_stdout_summary_v5	5.324	True	ok	0.0
cluster-safe-deepseek-coder-v2-16b-ctx16k	PySnooper_3f	5	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-deepseek-coder-v2-16b-ctx16k/PySnooper_3f/run_0001/0002-5	tool_completed	0	ok	True	15.263157894736842	29	161	0	0	0	0	5	195	mutmut_stdout_summary_v5	4.674	True	ok	0.0
cluster-safe-deepseek-coder-v2-16b-ctx16k	ansible_14f	3	ansible.utils.unicode	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-deepseek-coder-v2-16b-ctx16k/ansible_14f/run_0001/0003-3	tool_completed	0	ok	True	0.0	0	8	0	0	0	0	0	8	mutmut_stdout_summary_v5	21.654	False	ok	0.0
cluster-safe-deepseek-coder-v2-16b-ctx16k	ansible_14f	4	ansible.utils.unicode	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-deepseek-coder-v2-16b-ctx16k/ansible_14f/run_0001/0003-4	tool_completed	0	ok	True	0.0	0	8	0	0	0	0	0	8	mutmut_stdout_summary_v5	24.458	False	ok	0.0
cluster-safe-deepseek-coder-v2-16b-ctx16k	ansible_14f	5	ansible.utils.unicode	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-safe-deepseek-coder-v2-16b-ctx16k/ansible_14f/run_0001/0003-5	tool_completed	0	ok	True	0.0	0	8	0	0	0	0	0	8	mutmut_stdout_summary_v5	20.203	False	ok	0.0
